,Example Reviews
81,"Munchkin The Cupsicle 8 Oz Insulated My First Straw Cup, Colors May Vary My daughter is 16 months old.My wife tried all possible ways(bought so many sippy cup) to make her drink through cup but didn\'t work after doing lot of research she ordered this Munchkin Straw Cup and it worked !!!!!!!! My daughter started drinking, the very first moment it arrived.Highly recommend for all parents."
82,BOB Infant Car Seat Adapter for Chicco Single Strollers Highly recommended. Cheaper on amazon than anywhere else. Very easy to install and easy to temporarily remove if necessary. Good quality. Feels safe for my newborn\'s chicco keyfit 30.
83,Wubbanub Infant Plush Toy Pacifier - Monkey Picked one up yesterday and our one month old has been happy and content all day! First time we put him to bed without crying. Definitely a gift for every new parent.
84,"Kids II Baby Einstein Discover and Play Piano Not only did one key not work, but my granddaughter seems borde with it.  thought she would love it after reading reviews."
85,Baby Einstein Take Along Tunes Excellent entertainment for a child.  It was priced just right and the item is very sturdy.  Highly recommend this purchase.
86,"NTM-910YIC - Sony Baby Call Nursery Monitor I wanted a baby monitor that would allow my to hang laundry on the line or take a shower without bringing the baby with me.  This does that.  I love that it\'s not constantly giving static thanks to the voice activation feature, and while I occasionally get an out-of-range beep, it\'s only very occasionally (usually when I\'m moving).  I\'ve had no problem getting a signal anywhere in my 1600 sqft house or 1000 sqft yard.  Also, the battery on this thing seems to last forever.  I have not charged it since receiving it two weeks ago."
87,"Full Coverage all-in-one Hands-Free Pumping Bra &amp; Nursing Tank by Rumina Nursingwear - Black Medium Still on the hunt for the perfect hands free bra/tank. Pretty sure it doesn\'t exist but this comes the closest. When the bottle is getting full , it tends to lose suction and then you have to hold it anyway. The tank is very thick, which is both nice and cumbersome, when wearing under clothes. However, the company is wonderful! Offered me a coupon for ordering again, but I just don\'t need it. I would order true to size, I ordered it too big as well. If anything go smaller."
88,"Ameda Store N Pour Breast Milk Storage Bags with Adapter, 20-Count I love these for my backup supply of milk.  Easy to store if you freeze flat and easy to transport when traveling.  My husband, Mom and Mother-in-law love them when they watch the baby.  I\'m told that you can open and pour while holding the baby.  Too expensive for me to use for normal pumping at work (I use the re-usable bottles for that)."
89,"UPPAbaby G-Lite Stroller, Red Denny Love that there is storage!  And it is so light and easy to fold and stand up.  You can even roll it while it\'s folded!  The shade is extra large so you can avoid too much sun on your LO.  This stroller is also super easy to maneuver.  I would recommend to anyone looking for a simple small stroller.  We have the Britax B-Ready, which is great is large open places.  This stroller is better for smaller places and everyday use."
90,"green sprouts Natural Wood Ring Rattle I thought was going to be a bit bigger, but it is perfect for my 8 month old.  It is light weight and makes a rattle noise.  Doesn\'t seem to dent or chip when bit even though she has 4 teeth."
91,"Infantino Flip Front 2 Back Carrier, Black It is a good product but is not clear how to put the baby when you want to carry him/her in the front or in any other  position.You have to figure out how to do it.  It does have instructions at all.Apart from that the quality is good."
92,"The First Years Compass B540 Booster Seat, Abstract O\'s After reading a review about this car seat I felt this was the best on for my granddaughter. When arrive and install I ask her if she like it and was it confortable, papaw I like it better than the one from walmart.If more companies would build products for children with safety and not the almighty dollar as there motivation.Thank you for a product that well help keep my granddaugher safe. R.L."
93,"Nickelodeon Rocking Sofa, Dora I was trying to decide between the chair and the sofa.  I am glad I got the sofa and for about the same price.  The quality is great! Nicely made. Way better than the cheap foam ones at most retail stores(Which I have).  My daughter loves it. It has the rounded feet that you attach that allows it to rock, at first we used it with out and now we are using it with the rocker feet. The difference is my daughter likes the rocking park but I liked the legs off because she likes to plop in it and it slides around to much and with the legs off it doesn\'t move."
94,"Munchkin Arm &amp; Hammer Disposable Changing Pad - 10 Pack I recently bought these for a vacation where we would be staying in a hotel.  These worked perfect.  We didn\'t have access to a laundry machine, so these were perfect.  They are quite large, so any potential mess will definitly be contained.  I wouldn\'t use these at home daily because it seems wasteful (I use the munchkin changing pad liners at home) but for a vacation these were wonerful!"
95,"Zoli Gummy Sticks Baby Gum Massagers, Green/Orange These sticks are a must have for a teether.  My 3 granddaughters have gotten teething relief, especially when the began teething their molars.  the gag guard gives great peace of mind and they are a must have in my book."
96,"Lambs &amp; Ivy Nap Mat, Pink Monkey My toddler loves her monkey nap mat.  She drags is around with her all day to either lay on or put her dolls to bed in it.  It isn\'t super thick, but I wasn\'t expecting that for this price.  And, she doesn\'t seem to mind the thickness at all.  If she is going to be sleeping on it all night, we fold a thick blanket under it for extra padding, but that is probably not necessary.  I love that the blanket is slightly wider than the mat, so that it fully covers her when she is laying on it.  The mat length is a little short, so I wouldn\'t buy it for any kids over 3 or 4 years old without looking at the measurements first.  (My child is under 2 years old - so it is perfect!)"
97,"Summer Infant Elite DuoMat for Car Seat, Black After doing my research online, I found this to be the best car seat mat for its price and purpose. I love the fact that you can fold the back part for rear-facing carseats so you don\'t have to buy another one for later on. It does have enough cushion to protect your leather seats. I highly recommend this product!"
98,Crocodile Creek Barnyard Placemat This comanies placemats for kiddos are awesome.They are very durrable.My kidds have a couple and they love to sit andpoint things out that they know or to ask questions.
99,"Cardinal Gates Door Guardian, Brass Perfect lock.Much better than those door chains, and looks better too.I test it on my garage back door.  I only used one there, and I could not break open the door even if my life depended on it, and I\'m 5\'9&#34; 220 pounds pretty fit.I put 2 on my front door and now have a great piece of mind knowing that probably only a car driving through my front door will break it open.I recommend this lock to all my friends and family.Also looks great with any of the finishes it comes with."
